VNDNBR,VNDNAME,VNDTYPE,INV_YEAR,INVPAYAMT,INV_AMOUNT,DPTNBR,DIV,DEPT,DEPT_CODE,VndCode
M7001537,เทค ทอยส์ บจก.,NONFOOD-MERCHANDISE,2023,"5,379,767.40","5,334,160.00",21340,02,40,0240,7001537
M7001537,เทค ทอยส์ บจก.,NONFOOD-MERCHANDISE,2023,-406.60,-380.00,21310,02,10,0210,7001537
M7001537,เทค ทอยส์ บจก.,NONFOOD-MERCHANDISE,2023,"26,097.30","2,040.00",21510,01,10,0110,7001537
M7001537,เทค ทอยส์ บจก.,NONFOOD-MERCHANDISE,2023,"20,852,352.60","17,265,451.00",21330,02,30,0230,7001537
M7001537,เทค ทอยส์ บจก.,NONFOOD-MERCHANDISE,2023,"31,380,266.79","25,286,769.00",21320,02,20,0220,7001537
M3500262,ดิอาจิโอ โมเอ็ท เฮนเนสซี่ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"227,622,305.38","212,731,127.00",21650,04,50,0450,3500262
M6003053,แบล็ค แซลมอล อินเตอร์เนชั่นแนล ฟู้ดส์ บจก.,FOOD-MERCHANDISE,2023,"2,681,778.54","2,506,328.00",21760,05,60,0560,6003053
M6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,FOOD-MERCHANDISE,2023,"194,072,926.81","181,376,577.00",21650,04,50,0450,6003074
M6300441,เอเซี่ยนฟู้ดกรุ๊ป (ไทยแลนด์) บจก.,FOOD-MERCHANDISE,2023,"97,413,939.90","91,041,079.00",21650,04,50,0450,6300441
